Customer,Workspace,DeviceId,AlertTime
niehove,4fecb874-3da7-44ad-a44a-804f7bada0e2,3b610469f8e36a415f95afead4ced8e95eb4c2eb,2025-08-04T09:08:35.6571802Z
echten,eb33369a-f6ad-4074-b82b-cbeaecfef733,a58e041132098e628975d32d08e677788ceaad94,2025-08-08T06:28:08.713515Z
katwijk,9c94b30e-66bf-4d5b-8024-7da5f5f9c270,ab07b4461a12ddb73653738db7bf94e6d5e4a6a0,2025-08-08T19:57:53.8688008Z
blauwhuis,e6846a22-91cb-4be1-a2fd-d11c68e8be9b,18cee9458c3164c4fcb9b4ff876baf33bcc22257,2025-07-28T11:50:31.9082754Z
britsum,19ef1395-96a3-484e-a8d4-35c6887874f4,31eca725c2346510fc882ef10fc13e2285ef4fb3,2025-08-04T13:50:20.6962533Z
britsum,19ef1395-96a3-484e-a8d4-35c6887874f4,ab09d33aa5fcf4dd33f3876b0b8374c9bd020c9b,2025-07-29T08:30:54.7796131Z
gramsbergen,ad8baf09-6cf3-4207-a188-b164f0ccb54d,1c0ef7b36c4e9696e5c6a44489aa50a9025170de,2025-07-29T19:16:10.2255485Z
oostdijk,a778bfab-5ca5-493d-b001-f629d9bcec70,25bf45a651dcab5ec8d716bbc15bce2beceba165,2025-08-04T07:16:06.9285191Z
vriezenveen,d87cfb5f-61e0-4ed8-8329-8fab838bba14,92782ced9e380de8bbd3bdbbebf7d1feb73a16d1,2025-08-03T20:15:55.6079834Z
vriezenveen,d87cfb5f-61e0-4ed8-8329-8fab838bba14,ddddf22067619ff38be04413f83ee26ecadffbad,2025-07-31T03:01:50.9577063Z
vriezenveen,d87cfb5f-61e0-4ed8-8329-8fab838bba14,7e1597f2bd174a6d1308636b542f36785a0ec902,2025-07-29T08:15:52.5193946Z
vriezenveen,d87cfb5f-61e0-4ed8-8329-8fab838bba14,0792eba67492990eed02a5d8e33bc4c1d7c8dc49,2025-07-31T04:03:58.7158236Z
delwijnen,657d0c0f-600b-48f4-a5d1-f307fc600cce,a670f75985280d4d1f817b1898b6aa1ebe1c4021,2025-08-04T06:15:42.4976002Z
stedum,156e4047-f5a9-4c62-bbfe-1bf74e73f226,ac851e05f31eb30b0b630b2aa38933a0fd222754,2025-07-30T11:23:09.4806675Z
stedum,156e4047-f5a9-4c62-bbfe-1bf74e73f226,ee39cced676cd7bb7f83eab4214e87e594a4aab6,2025-07-30T06:43:25.9311375Z
stedum,156e4047-f5a9-4c62-bbfe-1bf74e73f226,4666128b01121573dd03f9fca6e758fc09b30b71,2025-07-30T10:18:20.0636114Z
notter,87498791-ccf8-4ff4-9be1-2409e526d9fd,0e286a34fc396f7ef58edba5cef166c5967b28f2,2025-08-07T19:12:09.7589481Z
wilhelminapark,847113c9-7caf-495e-bfd3-5fb75df80804,cc7dd572a80687e2dc3b9fa5e4f4af1665057ce9,2025-08-05T07:06:29.9572238Z
wilhelminapark,847113c9-7caf-495e-bfd3-5fb75df80804,f37092806f3d6df2056eeb026385469f43e1aaba,2025-07-31T07:16:31.5149862Z
welten,2fd2fcfa-3d0c-4b6c-84a0-91fc38a287e5,aff4b5c04c13a0ac7c615d8289f7c5cb02462786,2025-08-06T06:35:16.5018113Z
sleeuwijk,773ae889-33e9-42b5-b714-7ec9a5b995e7,50bf022c1cf8032f0d3b3b9faffb7fdc8d25d32a,2025-08-05T11:04:59.9592701Z
walsoorden,22a753d8-7ae4-430a-a23c-9a1998532ab7,d0ed1f1911e0e71fbf3983817d9c6470d4f3601b,2025-08-03T11:47:14.3678895Z
kruisland,54956487-7205-4fa4-a4ea-ccbbedd51dd5,0436cbb811f7031073e38cf83e54f96b6260a260,2025-07-30T07:24:19.5572343Z
kruisland,54956487-7205-4fa4-a4ea-ccbbedd51dd5,54eeedeba337fdb7b356ffa645571e4e8d4a31ee,2025-08-04T12:39:20.6351517Z
